question,option,input_type,input_id,dependence,dependence_value,required
Relative humidity is available. ,Discrete,matrix,met_matrix,,,TRUE
Relative humidity is available. ,Continuous,matrix,met_matrix,,,TRUE
Relative humidity is available. ,Not available,matrix,met_matrix,,,TRUE
Vapor pressure deficit is available. ,Discrete,matrix,met_matrix,,,TRUE
Vapor pressure deficit is available. ,Continuous,matrix,met_matrix,,,TRUE
Vapor pressure deficit is available. ,Not available,matrix,met_matrix,,,TRUE
Air temperature is available. ,Discrete,matrix,met_matrix,,,TRUE
Air temperature is available. ,Continuous,matrix,met_matrix,,,TRUE
Air temperature is available. ,Not available,matrix,met_matrix,,,TRUE
Photosynthetically active radiation (PPFD or PAR) is available. ,Discrete,matrix,met_matrix,,,TRUE
Photosynthetically active radiation (PPFD or PAR) is available. ,Continuous,matrix,met_matrix,,,TRUE
Photosynthetically active radiation (PPFD or PAR) is available. ,Not available,matrix,met_matrix,,,TRUE
Solar or net radiation is available,Discrete,matrix,met_matrix,,,TRUE
Solar or net radiation is available,Continuous,matrix,met_matrix,,,TRUE
Solar or net radiation is available,Not available,matrix,met_matrix,,,TRUE
Windspeed is available.  ,Discrete,matrix,met_matrix,,,TRUE
Windspeed is available.  ,Continuous,matrix,met_matrix,,,TRUE
Windspeed is available.  ,Not available,matrix,met_matrix,,,TRUE
"Please select whether any of these ancillary site-level ecohydrological data have been collected at your site (check all that apply).  PSInet is not actively collecting these data, but we are interested in knowing where they are available to support future synthesis projects.",Leaf-level gas exchange spot measurements,checkbox,ancillary_avail,,,FALSE
"Please select whether any of these ancillary site-level ecohydrological data have been collected at your site (check all that apply).  PSInet is not actively collecting these data, but we are interested in knowing where they are available to support future synthesis projects.",Leaf-level ACi and/or light response curves,checkbox,ancillary_avail,,,FALSE
"Please select whether any of these ancillary site-level ecohydrological data have been collected at your site (check all that apply).  PSInet is not actively collecting these data, but we are interested in knowing where they are available to support future synthesis projects.",Sap flux time series,checkbox,ancillary_avail,,,FALSE
"Please select whether any of these ancillary site-level ecohydrological data have been collected at your site (check all that apply).  PSInet is not actively collecting these data, but we are interested in knowing where they are available to support future synthesis projects.",Eddy covariance flux time series,checkbox,ancillary_avail,,,FALSE
"Please select whether any of these ancillary site-level ecohydrological data have been collected at your site (check all that apply).  PSInet is not actively collecting these data, but we are interested in knowing where they are available to support future synthesis projects.",Xylem vulnerability curves (in-situ),checkbox,ancillary_avail,,,FALSE
"Please select whether any of these ancillary site-level ecohydrological data have been collected at your site (check all that apply).  PSInet is not actively collecting these data, but we are interested in knowing where they are available to support future synthesis projects.",In-situ plant hydraulic conductivity or xylem embolism,checkbox,ancillary_avail,,,FALSE
"Please select whether any of these ancillary site-level ecohydrological data have been collected at your site (check all that apply).  PSInet is not actively collecting these data, but we are interested in knowing where they are available to support future synthesis projects.",Xylem water content time series,checkbox,ancillary_avail,,,FALSE
"Please select whether any of these ancillary site-level ecohydrological data have been collected at your site (check all that apply).  PSInet is not actively collecting these data, but we are interested in knowing where they are available to support future synthesis projects.",Automated dendrometry,checkbox,ancillary_avail,,,FALSE
"Please select whether any of these ancillary site-level ecohydrological data have been collected at your site (check all that apply).  PSInet is not actively collecting these data, but we are interested in knowing where they are available to support future synthesis projects.",Other,checkbox,ancillary_avail,,,FALSE
"If other, please describe. ",Your answer,text,ancillary_other,ancillary_avail,Other,FALSE
Have you shared any of these ancillary data with other environmental observation networks? Check all that apply. ,"FLUXNET and/or a regional flux  network (e.g., AmeriFlux, ICOS, OZFlux, AsiaFlux, BrasFlux)",checkbox,network_submitted,,,FALSE
Have you shared any of these ancillary data with other environmental observation networks? Check all that apply. ,SAPFLUXNET,checkbox,network_submitted,,,FALSE
Have you shared any of these ancillary data with other environmental observation networks? Check all that apply. ,TRY plant trait database,checkbox,network_submitted,,,FALSE
Have you shared any of these ancillary data with other environmental observation networks? Check all that apply. ,XFT (xylem functional traits database),checkbox,network_submitted,,,FALSE
Have you shared any of these ancillary data with other environmental observation networks? Check all that apply. ,Other,checkbox,network_submitted,,,FALSE
"If other, please describe. ",Your answer,text,network_other,network_submitted,Other,FALSE
Is there anything else you'd like us to know about your dataset?,Your answer,text,open_comment,,,FALSE
"Besides this dataset, do you have other datasets you wish to contribute to PSInet? If so, how many?",Your answer,text,additional_datasets,,,FALSE
